RouteStation,LateNight,Weekday,Late Night Rate,Rank Weekday,Rank Late Night,,Min,RankChange,Type
1,27475,13214,2.079234146,18,17,Bus,17,1,Key
15,8292,6309,1.314312886,55,48,,48,7,Key
22,9643,8656,1.114024954,39,39,Bus,39,0,Key
23,15708,12527,1.253931508,22,29,Bus,22,-7,Key
28,20917,14057,1.48801309,14,21,Bus,14,-7,Key
32,13025,11020,1.181941924,28,32,Bus,28,-4,Key
39,15481,14877,1.040599583,13,30,Bus,13,-17,Key
57,23031,10094,2.281652467,33,19,Bus,19,14,Key
66,33050,13933,2.372066317,16,14,Bus,14,2,Key
71,11302,5548,2.037130497,62,34,,34,28,Key
73,8680,6424,1.351183064,51,45,,45,6,Key
77,16950,7640,2.218586387,42,27,Bus,27,15,Key
111,23912,12133,1.970823374,24,18,Bus,18,6,Key
116,9701,6054,1.602411629,58,38,,38,20,Key
117,6386,4981,1.282071873,70,55,,55,15,Key
