Type,Station,Night_Ridership,Group,Weekday_Ridership,LN Rank,WD Rank,Rank change
Blue,Aquarium,10605,Rapid Transit,4776,12,65,53
Green,Boylston,12379,Rapid Transit,6826,9,45,36
Green,Kenmore,16455,Rapid Transit,9503,3,33,30
Orange,Chinatown,6073,Subway,6498,17,47,30
Silver,World Trade Center,1554,Rapid Transit,1574,50,80,30
Green,Hynes Convention Ctr/ICA,12085,Rapid Transit,8946,10,35,25
Green,Prudential,1949,Rapid Transit,3643,45,70,25
Bus,71,2594,Key,5548,34,58,24
Orange,Massachusetts Ave,3972,Subway,6417,29,51,22
Orange,Haymarket,15080,Subway,11469,6,26,20
Orange,Tufts Medical Center,2786,Subway,6106,33,53,20
Green,Arlington,5248,Rapid Transit,8519,21,40,19
Blue,Bowdoin,912,Rapid Transit,1526,63,81,18
Green,Symphony,924,Rapid Transit,1711,62,79,17
Orange,Stony Brook,1410,Subway,3652,53,69,16
Orange,Roxbury Crossing,1514,Subway,4727,51,66,15
Red,Broadway,1883,Subway,5264,46,60,14
Orange,State,16311,Subway,13258,4,17,13
Bus,116,2020,Key,6054,43,55,12
Silver,Courthouse,573,Rapid Transit,1283,71,82,11
Bus,57,5058,Key,10094,22,32,10
Bus,77,3197,Key,7640,31,41,10
Bus,117,1501,Key,4981,52,62,10
Bus,15,1988,Key,6309,44,52,8
Green,Copley,12570,Rapid Transit,14021,7,15,8
Blue,Airport,2395,Rapid Transit,7429,36,43,7
Blue,Revere Beach,751,Rapid Transit,3197,66,72,6
Red,Charles/MGH,5950,Subway,12065,19,25,6
Green,Park Street,27788,Rapid Transit,19653,1,6,5
Blue,Orient Heights,716,Rapid Transit,2833,70,74,4
Red,Central,15324,Subway,16525,5,9,4
Orange,Green Street,726,Subway,3618,68,71,3
Bus,1,6122,Key,13214,16,18,2
Orange,Jackson Square,1349,Subway,5828,54,56,2
Red,Harvard,18095,Subway,23199,2,4,2
Bus,66,8586,Key,13933,15,16,1
Red,Savin Hill,491,Subway,2440,75,76,1
Blue,Suffolk Downs,109,Rapid Transit,1125,83,83,0
Bus,73,1810,Key,6424,49,49,0
Green,Science Park,70,Rapid Transit,1042,84,84,0
Red,Porter,2235,Subway,8850,37,37,0
Bus,22,2170,Key,8656,39,38,-1
Bus,23,5050,Key,12527,23,22,-1
Orange,Back Bay,12564,Subway,18100,8,7,-1
Blue,Wood Island,425,Rapid Transit,2507,77,75,-2
Silver,SL4 Essex,1167,Surface,5799,59,57,-2
Bus,111,4366,Key,12133,27,24,-3
Green,Riverside,278,Rapid Transit,2241,81,78,-3
Red,Shawmut,325,Subway,2411,80,77,-3
Bus,32,2829,Key,11020,32,28,-4
Blue,Beachmont,404,Rapid Transit,3045,78,73,-5
Red,Davis,5008,Subway,12857,24,19,-5
Red,Mattapan Trolley,539,Subway,4637,72,67,-5
Orange,Community College,723,Subway,4956,69,63,-6
Red,Fields Corner,759,Subway,5298,65,59,-6
Green,C - Cleveland Circle,3717,Surface,12466,30,23,-7
Red,Kendall/MIT,5303,Subway,15433,20,11,-9
Red,South Station,11210,Subway,25037,11,2,-9
Orange,Downtown Crossing,10535,Subway,23478,13,3,-10
Orange,North Station,5978,Subway,17079,18,8,-10
Red,Andrew,1210,Subway,6425,58,48,-10
Bus,28,5008,Key,14057,25,14,-11
Green,Lechmere,959,Rapid Transit,6421,61,50,-11
Orange,Ruggles,2155,Subway,10433,40,29,-11
Orange,Sullivan Square,2067,Subway,10125,41,30,-11
Blue,Wonderland,735,Rapid Transit,6105,67,54,-13
Green,B - Boston College,10106,Surface,26310,14,1,-13
Red,Braintree,496,Subway,5122,74,61,-13
Red,Ashmont,1834,Subway,9293,48,34,-14
Red,Wollaston,275,Subway,4624,82,68,-14
Bus,39,4102,Key,14877,28,13,-15
Green,E - Heath Street,2555,Surface,12812,35,20,-15
Red,Quincy Adams,351,Subway,4785,79,64,-15
Blue,Maverick,1842,Rapid Transit,10106,47,31,-16
Red,Quincy Center,1316,Subway,8655,56,39,-17
Red,JFK/U Mass,1336,Subway,8920,55,36,-19
Green,D - Riverside,4670,Surface,22391,26,5,-21
Orange,Wellington ,886,Subway,7609,64,42,-22
Orange,Forest Hills,2198,Subway,15150,38,12,-26
Red,North Quincy,528,Subway,6975,73,44,-29
Orange,Oak Grove,426,Subway,6590,76,46,-30
Silver,SL4 SL5,2050,Surface,15472,42,10,-32
Red,Alewife,1041,Subway,11221,60,27,-33
Orange,Malden Center,1242,Subway,12686,57,21,-36
