RouteStation,LateNight,Weekday,Late Night Rate,Rank Weekday,Rank Late Night,,Min,RankChange,Type
Airport,9520,7429,1.281464531,44,40,Blue,40,4,Rail
Alewife,3927,11221,0.349968808,27,84,Red,27,-57,Rail
Andrew,4808,6425,0.748326848,50,64,,50,-14,Rail
Aquarium,40071,4776,8.390075377,74,8,,8,66,Rail
Arlington,22313,8519,2.619204132,41,20,Green,20,21,Rail
Ashmont,5631,9293,0.605939955,35,60,Red,35,-25,Rail
Back Bay,39549,18100,2.185027624,7,9,Orange,7,-2,Rail
Bowdoin,1148,1526,0.752293578,154,136,,136,18,Rail
Boylston,41737,6826,6.11441547,46,7,Green,7,39,Rail
Braintree,1532,5122,0.299101913,67,125,,67,-58,Rail
Broadway,7773,5264,1.476633739,65,50,,50,15,Rail
Central,50068,16525,3.029833585,9,5,Red,5,4,Rail
Charles/MGH,20092,12065,1.665312889,25,24,Red,24,1,Rail
Chinatown,20026,6498,3.081871345,49,25,,25,24,Rail
Community College,3206,4956,0.646892655,71,96,,71,-25,Rail
Copley,51956,14021,3.70558448,15,4,Green,4,11,Rail
Court House,1746,1283,1.360872954,168,122,,122,46,Rail
Davis,19186,12857,1.492261025,19,26,Red,19,-7,Rail
Downtown Crossing,35373,23478,1.506644518,3,12,,3,-9,Rail
Fields Corner,3075,5298,0.580407701,64,99,,64,-35,Rail
Forest Hills,7492,15150,0.494521452,12,51,Orange,12,-39,Rail
Green Street,2439,3618,0.674129353,88,107,,88,-19,Rail
Harvard,59212,23199,2.552351394,4,2,Red,2,2,Rail
Haymarket,37113,11469,3.235940361,26,11,,11,15,Rail
Hynes Convention Ctr/ICA,42920,8946,4.797674939,36,6,Green,6,30,Rail
Jackson Square,4572,5828,0.784488675,59,69,,59,-10,Rail
JFK/UMass,4767,8920,0.53441704,37,66,Red,37,-29,Rail
Kendall/MIT,20642,15433,1.337523489,11,23,Red,11,-12,Rail
Kenmore,52454,9503,5.519730611,34,3,Green,3,31,Rail
Lechmere,4125,6421,0.642423299,52,76,,52,-24,Rail
Malden Center,4008,12686,0.31593883,21,79,Orange,21,-58,Rail
Massachusetts Ave,14442,6417,2.250584385,53,31,,31,22,Rail
Maverick,6782,10106,0.671086483,32,53,Blue,32,-21,Rail
North Quincy,2042,6975,0.292759857,45,112,Red,45,-67,Rail
North Station,20785,17079,1.216991627,8,22,,8,-14,Rail
Oak Grove,1483,6590,0.225037936,48,128,,48,-80,Rail
Orient Heights,1172,2833,0.413695729,111,135,,111,-24,Rail
Park Street,75108,19653,3.82170661,6,1,,1,5,Rail
Porter,9213,8850,1.041016949,38,43,Red,38,-5,Rail
Prudential,8285,3643,2.27422454,87,49,,49,38,Rail
Quincy Adams,1304,4785,0.272518286,73,132,,73,-59,Rail
Quincy Center,4438,8655,0.512767187,40,70,Red,40,-30,Rail
Revere Beach,1935,3197,0.605254926,102,117,,102,-15,Rail
Riverside,659,2241,0.294065149,120,151,,120,-31,Rail
Roxbury Crossing,5852,4727,1.2379945,76,57,,57,19,Rail
Ruggles,8315,10433,0.796990319,30,47,Orange,30,-17,Rail
Savin Hill,1871,2440,0.766803279,116,119,,116,-3,Rail
Science Park,572,1042,0.548944338,180,154,,154,26,Rail
Shawmut,1051,2411,0.435918706,118,140,,118,-22,Rail
South Station,33830,25037,1.351200224,2,13,Red,2,-11,Rail
State,38850,13258,2.93030623,17,10,Blue,10,7,Rail
Stony Brook,4776,3652,1.307776561,86,65,,65,21,Rail
Suffolk Downs,798,1125,0.709333333,176,149,,149,27,Rail
Sullivan Square,9514,10125,0.939654321,31,41,Orange,31,-10,Rail
Symphony,3347,1711,1.956165985,140,94,,94,46,Rail
Tufts Medical Center,8665,6106,1.419095971,56,46,,46,10,Rail
Wellington,3165,7609,0.41595479,43,98,Orange,43,-55,Rail
Wollaston,1066,4624,0.230536332,78,138,,78,-60,Rail
Wonderland,2381,6105,0.39000819,57,108,,57,-51,Rail
Wood Island,1582,2507,0.631033107,114,124,,114,-10,Rail
World Trade Center,4726,1574,3.002541296,149,68,,68,81,Rail
Beachmont,1493,3045,0.490311987,108,127,,108,-19,Rail
