Zip,Ends14,Starts14,Ends13,Starts13
01103,1,0,1,1
01108,1,1,0,0
01432,6,2,4,1
01440,1,0,0,0
01450,1,0,2,1
01451,1,0,1,1
01453,2,2,1,0
01460,6,5,3,1
01463,1,0,1,1
01474,1,0,0,0
01503,1,0,1,0
01505,1,0,0,0
01507,1,1,0,0
01519,2,1,0,0
01529,1,1,0,0
01532,3,3,3,0
01534,1,0,0,0
01536,2,1,2,1
01545,4,3,14,10
01550,1,1,0,0
01560,1,1,0,0
01566,3,3,0,0
01571,1,1,0,0
01581,57,26,31,18
01602,5,2,1,1
01603,3,3,2,1
01604,7,4,5,1
01605,10,7,9,7
01606,1,0,0,0
01608,4,1,2,1
01609,5,3,4,3
01701,133,21,102,9
01702,99,13,82,10
01718,1,0,1,0
01719,11,5,5,2
01720,27,5,29,1
01721,21,2,14,0
01730,101,7,74,5
01731,6,3,11,0
01740,1,1,0,0
01741,7,0,9,1
01742,88,4,73,3
01745,1,0,0,0
01746,12,0,4,1
01748,19,8,15,7
01749,1,1,0,0
01752,44,16,36,16
01754,9,1,8,1
01756,1,0,0,0
01757,23,8,14,4
01760,251,38,264,18
01770,10,1,8,2
01772,22,11,15,9
01773,48,3,30,2
01776,22,0,33,3
01778,51,4,64,3
01801,771,60,579,52
01803,316,22,283,26
01810,107,16,114,6
01821,90,12,66,10
01824,8,1,14,3
01826,2,0,1,0
01830,4,3,1,1
01833,1,0,3,0
01834,3,2,0,0
01835,1,1,2,0
01840,4,2,5,0
01841,5,0,3,1
01843,8,3,8,2
01844,15,7,14,8
01845,38,7,25,4
01850,2,2,1,0
01851,5,1,6,2
01852,15,5,20,5
01854,8,4,5,1
01862,12,1,9,3
01863,4,0,2,2
01864,24,2,23,1
01867,214,19,205,13
01876,27,4,47,5
01879,4,1,3,0
01880,282,17,261,15
01886,22,10,25,16
01887,65,9,64,9
01890,797,47,773,45
01901,29,2,20,4
01902,170,12,178,10
01904,53,3,34,1
01905,87,5,69,5
01906,504,35,449,20
01907,210,13,182,11
01908,48,1,30,3
01913,2,2,1,0
01915,84,8,90,15
01921,6,0,5,1
01922,2,1,3,2
01923,101,11,76,4
01929,1,1,3,1
01930,8,4,6,3
01938,12,7,4,1
01940,74,9,68,6
01944,16,3,13,1
01945,150,9,136,11
01949,17,2,6,0
01950,9,3,10,5
01951,1,1,2,1
01952,1,1,0,0
01960,172,15,147,5
01966,1,0,1,1
01969,1,0,5,0
01970,181,15,161,13
01982,10,1,7,0
01983,18,4,12,0
01984,22,8,8,1
02019,2,1,1,0
02021,197,33,168,21
02025,46,6,24,3
02026,639,81,572,48
02030,23,0,32,6
02032,10,1,8,0
02035,42,7,38,3
02038,14,6,29,17
02045,24,2,12,1
02048,23,9,20,11
02050,10,2,8,1
02052,15,1,10,2
02053,1,0,1,2
02056,19,2,23,3
02061,20,3,16,1
02062,208,24,168,16
02066,34,5,40,4
02067,69,9,47,3
02071,3,0,0,0
02072,54,11,51,13
02081,37,2,33,1
02090,122,14,119,6
02093,5,5,2,1
02108,16777,33792,18583,35334
02109,13277,32324,15172,34256
02110,14544,29955,16472,30379
02111,12238,28010,13630,31048
02113,9846,11388,10852,13188
02114,25313,29498,29571,41113
02115,26568,29549,31635,37002
02116,57368,84194,64246,95632
02118,20419,14191,23718,19811
02119,5790,1488,6043,1643
02120,10238,3477,11689,4601
02121,2765,1042,2685,1131
02122,5003,2324,5209,2496
02124,7797,6556,7400,6507
02125,11821,4444,12710,5004
02126,3215,1399,2961,1302
02127,43470,19054,47794,23362
02128,9066,39150,9172,42113
02129,13811,2666,15004,3653
02130,10953,10332,12331,9773
