Zip,Ends14,Starts14,Ends13,Starts13,Ends1413,Starts1413
02116,57368,84194,64246,95632,0.8929,0.8804
02127,43470,19054,47794,23362,0.9095,0.8156
02135,29207,9464,32995,11446,0.8852,0.8268
02215,27064,57473,33173,63034,0.8158,0.9118
02115,26568,29549,31635,37002,0.8398,0.7986
02114,25313,29498,29571,41113,0.8560,0.7175
02134,22122,21211,26581,27796,0.8322,0.7631
02118,20419,14191,23718,19811,0.8609,0.7163
02139,18525,4903,23343,7460,0.7936,0.6572
02446,17209,4944,21021,7213,0.8187,0.6854
02108,16777,33792,18583,35334,0.9028,0.9564
02110,14544,29955,16472,30379,0.8830,0.9860
02210,14043,27419,15602,31149,0.9001,0.8803
02129,13811,2666,15004,3653,0.9205,0.7298
02109,13277,32324,15172,34256,0.8751,0.9436
02111,12238,28010,13630,31048,0.8979,0.9022
02125,11821,4444,12710,5004,0.9301,0.8881
02138,11397,2179,14472,3475,0.7875,0.6271
02130,10953,10332,12331,9773,0.8882,1.0572
02120,10238,3477,11689,4601,0.8759,0.7557
02113,9846,11388,10852,13188,0.9073,0.8635
02128,9066,39150,9172,42113,0.9884,0.9296
02124,7797,6556,7400,6507,1.0536,1.0075
02141,7662,1297,9373,2251,0.8175,0.5762
02199,7375,18530,8072,19897,0.9137,0.9313
02445,6792,1201,8173,1362,0.8310,0.8818
02143,6732,1045,8244,1336,0.8166,0.7822
02155,6410,578,6793,523,0.9436,1.1052
02144,6353,798,7474,1140,0.8500,0.7000
02119,5790,1488,6043,1643,0.9581,0.9057
02145,5026,517,5395,565,0.9316,0.9150
02122,5003,2324,5209,2496,0.9605,0.9311
02131,4793,914,4058,862,1.1811,1.0603
02142,4746,986,5476,1429,0.8667,0.6900
02140,3396,525,3844,679,0.8835,0.7732
02126,3215,1399,2961,1302,1.0858,1.0745
02472,2838,315,2970,364,0.9556,0.8654
02121,2765,1042,2685,1131,1.0298,0.9213
02148,2741,242,2806,212,0.9768,1.1415
02169,2579,234,2653,218,0.9721,1.0734
02132,2377,350,1958,296,1.2140,1.1824
02467,2343,326,2341,333,1.0009,0.9790
02151,2224,186,2254,149,0.9867,1.2483
02163,2128,842,3139,1317,0.6779,0.6393
02150,2105,183,1734,130,1.2140,1.4077
02136,1917,442,1741,410,1.1011,1.0780
02171,1864,192,1980,222,0.9414,0.8649
02458,1788,190,1873,199,0.9546,0.9548
02149,1551,193,1942,258,0.7987,0.7481
02186,1511,174,1525,158,0.9908,1.1013
02478,1335,99,1303,93,1.0246,1.0645
02170,1292,86,1268,106,1.0189,0.8113
02474,1285,84,1354,89,0.9490,0.9438
02459,1037,101,992,119,1.0454,0.8487
02152,934,48,867,47,1.0773,1.0213
02184,853,95,845,76,1.0095,1.2500
02176,804,47,850,47,0.9459,1.0000
02453,801,95,883,93,0.9071,1.0215
01890,797,47,773,45,1.0310,1.0444
01801,771,60,579,52,1.3316,1.1538
02451,656,61,623,62,1.0530,0.9839
02026,639,81,572,48,1.1171,1.6875
02476,556,37,522,24,1.0651,1.5417
02460,522,58,534,32,0.9775,1.8125
02466,522,54,531,43,0.9831,1.2558
02465,520,51,543,43,0.9576,1.1860
01906,504,35,449,20,1.1225,1.7500
02482,420,37,476,39,0.8824,0.9487
02481,399,37,329,31,1.2128,1.1935
02494,373,37,274,21,1.3613,1.7619
02492,370,29,350,37,1.0571,0.7838
02452,350,43,352,28,0.9943,1.5357
02461,325,20,387,32,0.8398,0.6250
02180,317,26,260,23,1.2192,1.1304
01803,316,22,283,26,1.1166,0.8462
02468,302,20,284,13,1.0634,1.5385
01880,282,17,261,15,1.0805,1.1333
02421,265,28,222,20,1.1937,1.4000
01760,251,38,264,18,0.9508,2.1111
02493,226,21,197,14,1.1472,1.5000
01867,214,19,205,13,1.0439,1.4615
02368,211,39,190,36,1.1105,1.0833
01907,210,13,182,11,1.1538,1.1818
02062,208,24,168,16,1.2381,1.5000
02462,208,21,183,11,1.1366,1.9091
02021,197,33,168,21,1.1726,1.5714
01970,181,15,161,13,1.1242,1.1538
01960,172,15,147,5,1.1701,3.0000
01902,170,12,178,10,0.9551,1.2000
02153,158,18,193,18,0.8187,1.0000
01945,150,9,136,11,1.1029,0.8182
02464,149,11,131,15,1.1374,0.7333
02420,136,14,140,10,0.9714,1.4000
01701,133,21,102,9,1.3039,2.3333
02090,122,14,119,6,1.0252,2.3333
01810,107,16,114,6,0.9386,2.6667
01730,101,7,74,5,1.3649,1.4000
01923,101,11,76,4,1.3289,2.7500
01702,99,13,82,10,1.2073,1.3000
02190,92,3,81,11,1.1358,0.2727
01821,90,12,66,10,1.3636,1.2000
01742,88,4,73,3,1.2055,1.3333
01905,87,5,69,5,1.2609,1.0000
01915,84,8,90,15,0.9333,0.5333
02301,84,18,63,7,1.3333,2.5714
01940,74,9,68,6,1.0882,1.5000
02188,74,7,108,10,0.6852,0.7000
02189,73,3,63,1,1.1587,3.0000
02067,69,9,47,3,1.4681,3.0000
01887,65,9,64,9,1.0156,1.0000
01581,57,26,31,18,1.8387,1.4444
02072,54,11,51,13,1.0588,0.8462
01904,53,3,34,1,1.5588,3.0000
02191,53,9,48,4,1.1042,2.2500
01778,51,4,64,3,0.7969,1.3333
01773,48,3,30,2,1.6000,1.5000
01908,48,1,30,3,1.6000,0.3333
02025,46,6,24,3,1.9167,2.0000
01752,44,16,36,16,1.2222,1.0000
02035,42,7,38,3,1.1053,2.3333
01845,38,7,25,4,1.5200,1.7500
02370,38,1,41,4,0.9268,0.2500
02081,37,2,33,1,1.1212,2.0000
02066,34,5,40,4,0.8500,1.2500
02351,33,1,26,0,1.2692,
01901,29,2,20,4,1.4500,0.5000
02343,28,8,37,6,0.7568,1.3333
01720,27,5,29,1,0.9310,5.0000
01876,27,4,47,5,0.5745,0.8000
01864,24,2,23,1,1.0435,2.0000
02045,24,2,12,1,2.0000,2.0000
01757,23,8,14,4,1.6429,2.0000
02030,23,0,32,6,0.7188,0.0000
02048,23,9,20,11,1.1500,0.8182
01772,22,11,15,9,1.4667,1.2222
01776,22,0,33,3,0.6667,0.0000
01886,22,10,25,16,0.8800,0.6250
01984,22,8,8,1,2.7500,8.0000
01721,21,2,14,0,1.5000,
02061,20,3,16,1,1.2500,3.0000
01748,19,8,15,7,1.2667,1.1429
02056,19,2,23,3,0.8261,0.6667
01983,18,4,12,0,1.5000,
01949,17,2,6,0,2.8333,
01944,16,3,13,1,1.2308,3.0000
01844,15,7,14,8,1.0714,0.8750
01852,15,5,20,5,0.7500,1.0000
02052,15,1,10,2,1.5000,0.5000
02038,14,6,29,17,0.4828,0.3529
02339,14,2,16,1,0.8750,2.0000
02360,13,5,4,2,3.2500,2.5000
01746,12,0,4,1,3.0000,0.0000
01862,12,1,9,3,1.3333,0.3333
01938,12,7,4,1,3.0000,7.0000
01719,11,5,5,2,2.2000,2.5000
02302,11,0,21,2,0.5238,0.0000
01605,10,7,9,7,1.1111,1.0000
01770,10,1,8,2,1.2500,0.5000
01982,10,1,7,0,1.4286,
02032,10,1,8,0,1.2500,
02050,10,2,8,1,1.2500,2.0000
02364,10,5,7,7,1.4286,0.7143
01754,9,1,8,1,1.1250,1.0000
01950,9,3,10,5,0.9000,0.6000
02359,9,4,6,2,1.5000,2.0000
01824,8,1,14,3,0.5714,0.3333
01843,8,3,8,2,1.0000,1.5000
01854,8,4,5,1,1.6000,4.0000
01930,8,4,6,3,1.3333,1.3333
02322,8,6,7,2,1.1429,3.0000
02356,8,1,11,0,0.7273,
02703,8,4,14,8,0.5714,0.5000
01604,7,4,5,1,1.4000,4.0000
01741,7,0,9,1,0.7778,0.0000
02760,7,4,2,0,3.5000,
01432,6,2,4,1,1.5000,2.0000
01460,6,5,3,1,2.0000,5.0000
01731,6,3,11,0,0.5455,
01921,6,0,5,1,1.2000,0.0000
02332,6,2,10,6,0.6000,0.3333
02375,6,0,7,0,0.8571,
02766,6,1,3,4,2.0000,0.2500
01602,5,2,1,1,5.0000,2.0000
01609,5,3,4,3,1.2500,1.0000
01841,5,0,3,1,1.6667,0.0000
01851,5,1,6,2,0.8333,0.5000
02093,5,5,2,1,2.5000,5.0000
02382,5,0,12,2,0.4167,0.0000
02767,5,1,10,6,0.5000,0.1667
01545,4,3,14,10,0.2857,0.3000
01608,4,1,2,1,2.0000,1.0000
01830,4,3,1,1,4.0000,3.0000
01840,4,2,5,0,0.8000,
01863,4,0,2,2,2.0000,0.0000
01879,4,1,3,0,1.3333,
02780,4,3,1,0,4.0000,
01532,3,3,3,0,1.0000,
01566,3,3,0,0,,
01603,3,3,2,1,1.5000,3.0000
01834,3,2,0,0,,
02071,3,0,0,0,,
02324,3,2,7,4,0.4286,0.5000
01453,2,2,1,0,2.0000,
01519,2,1,0,0,,
01536,2,1,2,1,1.0000,1.0000
01826,2,0,1,0,2.0000,
01850,2,2,1,0,2.0000,
01913,2,2,1,0,2.0000,
01922,2,1,3,2,0.6667,0.5000
02019,2,1,1,0,2.0000,
02338,2,0,1,1,2.0000,0.0000
02532,2,0,0,0,,
02648,2,1,0,0,,
02721,2,2,2,0,1.0000,
02747,2,2,1,0,2.0000,
01103,1,0,1,1,1.0000,0.0000
01108,1,1,0,0,,
01440,1,0,0,0,,
01450,1,0,2,1,0.5000,0.0000
01451,1,0,1,1,1.0000,0.0000
01463,1,0,1,1,1.0000,0.0000
01474,1,0,0,0,,
01503,1,0,1,0,1.0000,
01505,1,0,0,0,,
01507,1,1,0,0,,
01529,1,1,0,0,,
01534,1,0,0,0,,
01550,1,1,0,0,,
01560,1,1,0,0,,
01571,1,1,0,0,,
01606,1,0,0,0,,
01718,1,0,1,0,1.0000,
01740,1,1,0,0,,
01745,1,0,0,0,,
01749,1,1,0,0,,
01756,1,0,0,0,,
01833,1,0,3,0,0.3333,
01835,1,1,2,0,0.5000,
01929,1,1,3,1,0.3333,1.0000
01951,1,1,2,1,0.5000,1.0000
01952,1,1,0,0,,
01966,1,0,1,1,1.0000,0.0000
01969,1,0,5,0,0.2000,
02053,1,0,1,2,1.0000,0.0000
02325,1,0,2,2,0.5000,0.0000
02333,1,0,1,0,1.0000,
02346,1,0,1,1,1.0000,0.0000
02347,1,1,2,1,0.5000,1.0000
02379,1,0,0,0,,
02562,1,0,1,0,1.0000,
02563,1,0,0,0,,
02601,1,0,1,1,1.0000,0.0000
02718,1,0,1,0,1.0000,
02723,1,0,0,0,,
02746,1,1,0,0,,
02762,1,1,3,3,0.3333,0.3333
02769,1,1,0,0,,
02777,1,0,0,0,,
02341,0,0,6,4,0.0000,0.0000
01832,0,0,6,3,0.0000,0.0000
02357,0,0,3,0,0.0000,
01610,0,0,2,0,0.0000,
02790,0,0,2,1,0.0000,0.0000
01002,0,0,2,2,0.0000,0.0000
02771,0,0,1,0,0.0000,
01003,0,0,1,1,0.0000,0.0000
02571,0,0,1,1,0.0000,0.0000
01527,0,0,1,1,0.0000,0.0000
01089,0,0,1,1,0.0000,0.0000
01747,0,0,1,0,0.0000,
01775,0,0,1,0,0.0000,
02632,0,0,1,1,0.0000,0.0000
02367,0,0,1,0,0.0000,
01020,0,0,1,0,0.0000,
02763,0,0,1,0,0.0000,
01501,0,0,1,0,0.0000,
02668,0,0,0,1,,0.0000
01040,0,1,0,0,,
