Zip,Ends14,Zip,Starts14,Zip,Ends13,Zip,Starts13
1103,1,2116,84194,2116,64246,2116,95632
1108,1,2215,57473,2127,47794,2215,63034
1432,6,2128,39150,2215,33173,2128,42113
1440,1,2108,33792,2135,32995,2114,41113
1450,1,2109,32324,2115,31635,2115,37002
1451,1,2110,29955,2114,29571,2108,35334
1453,2,2115,29549,2134,26581,2109,34256
1460,6,2114,29498,2118,23718,2210,31149
1463,1,2111,28010,2139,23343,2111,31048
1474,1,2210,27419,2446,21021,2110,30379
1503,1,2134,21211,2108,18583,2134,27796
1505,1,2127,19054,2110,16472,2127,23362
1507,1,2199,18530,2210,15602,2199,19897
1519,2,2118,14191,2109,15172,2118,19811
1529,1,2113,11388,2129,15004,2113,13188
1532,3,2130,10332,2138,14472,2135,11446
1534,1,2135,9464,2111,13630,2130,9773
1536,2,2124,6556,2125,12710,2139,7460
1545,4,2446,4944,2130,12331,2446,7213
1550,1,2139,4903,2120,11689,2124,6507
1560,1,2125,4444,2113,10852,2125,5004
1566,3,2120,3477,2141,9373,2120,4601
1571,1,2129,2666,2128,9172,2129,3653
1581,57,2122,2324,2143,8244,2138,3475
1602,5,2138,2179,2445,8173,2122,2496
1603,3,2119,1488,2199,8072,2141,2251
1604,7,2126,1399,2144,7474,2119,1643
1605,10,2141,1297,2124,7400,2142,1429
1606,1,2445,1201,2155,6793,2445,1362
1608,4,2143,1045,2119,6043,2143,1336
1609,5,2121,1042,2142,5476,2163,1317
1701,133,2142,986,2145,5395,2126,1302
1702,99,2131,914,2122,5209,2144,1140
1718,1,2163,842,2131,4058,2121,1131
1719,11,2144,798,2140,3844,2131,862
1720,27,2155,578,2163,3139,2140,679
1721,21,2140,525,2472,2970,2145,565
1730,101,2145,517,2126,2961,2155,523
1731,6,2136,442,2148,2806,2136,410
1740,1,2132,350,2121,2685,2472,364
1741,7,2467,326,2169,2653,2467,333
1742,88,2472,315,2467,2341,2132,296
1745,1,2148,242,2151,2254,2149,258
1746,12,2169,234,2171,1980,2171,222
1748,19,2149,193,2132,1958,2169,218
1749,1,2171,192,2149,1942,2148,212
1752,44,2458,190,2458,1873,2458,199
1754,9,2151,186,2136,1741,2186,158
1756,1,2150,183,2150,1734,2151,149
1757,23,2186,174,2186,1525,2150,130
1760,251,2459,101,2474,1354,2459,119
1770,10,2478,99,2478,1303,2170,106
1772,22,2184,95,2170,1268,2453,93
1773,48,2453,95,2459,992,2478,93
1776,22,2170,86,2453,883,2474,89
1778,51,2474,84,2152,867,2184,76
1801,771,2026,81,2176,850,2451,62
1803,316,2451,61,2184,845,1801,52
1810,107,1801,60,1890,773,2026,48
1821,90,2460,58,2451,623,2176,47
1824,8,2466,54,1801,579,2152,47
1826,2,2465,51,2026,572,1890,45
1830,4,2152,48,2465,543,2465,43
1833,1,1890,47,2460,534,2466,43
1834,3,2176,47,2466,531,2482,39
1835,1,2452,43,2476,522,2492,37
1840,4,2368,39,2482,476,2368,36
1841,5,1760,38,1906,449,2461,32
1843,8,2476,37,2461,387,2460,32
1844,15,2481,37,2452,352,2481,31
1845,38,2482,37,2492,350,2452,28
1850,2,2494,37,2481,329,1803,26
1851,5,1906,35,2468,284,2476,24
1852,15,2021,33,1803,283,2180,23
1854,8,2492,29,2494,274,2494,21
1862,12,2421,28,1760,264,2021,21
1863,4,2180,26,1880,261,2421,20
1864,24,1581,26,2180,260,1906,20
1867,214,2062,24,2421,222,1581,18
1876,27,1803,22,1867,205,2153,18
1879,4,1701,21,2493,197,1760,18
1880,282,2493,21,2153,193,2038,17
1886,22,2462,21,2368,190,2062,16
1887,65,2468,20,2462,183,1886,16
1890,797,2461,20,1907,182,1752,16
1901,29,1867,19,1902,178,2464,15
1902,170,2153,18,2062,168,1915,15
1904,53,2301,18,2021,168,1880,15
1905,87,1880,17,1970,161,2493,14
1906,504,1752,16,1960,147,2072,13
1907,210,1810,16,2420,140,1970,13
1908,48,1970,15,1945,136,2468,13
1913,2,1960,15,2464,131,1867,13
1915,84,2090,14,2090,119,2048,11
1921,6,2420,14,1810,114,1907,11
1922,2,1702,13,2188,108,2190,11
1923,101,1907,13,1701,102,1945,11
1929,1,1821,12,1915,90,2462,11
1930,8,1902,12,1702,82,2420,10
1938,12,2464,11,2190,81,1702,10
1940,74,1772,11,1923,76,1821,10
1944,16,1923,11,1730,74,1902,10
1945,150,2072,11,1742,73,1545,10
1949,17,1886,10,1905,69,2188,10
1950,9,1940,9,1940,68,1772,9
1951,1,2067,9,1821,66,1887,9
1952,1,1945,9,1778,64,1701,9
1960,172,2191,9,1887,64,2703,8
1966,1,2048,9,2189,63,1844,8
1969,1,1887,9,2301,63,2364,7
1970,181,1915,8,2072,51,1748,7
1982,10,1748,8,2191,48,2301,7
1983,18,1757,8,2067,47,1605,7
1984,22,2343,8,1876,47,2343,6
2019,2,1984,8,2370,41,1810,6
2021,197,1845,7,2066,40,1940,6
2025,46,1844,7,2035,38,2767,6
2026,639,1605,7,2343,37,2332,6
2030,23,1730,7,1752,36,2090,6
